Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Agressive_Target,Predicted_Agressive_Target,Actual_Profit,Actual_Aggressive_profit,PAT_Profit_100,PAT_D_Profit_100,PAT_Loss_100,Target_Predicted_Aggressive_100_Defence_Target,PAT_Profit_Timestamp_100,PAT_D_Profit_Timestamp_100,PAT_Loss_Timestamp_100,Actual_Loss,PAT_Profit_Duration,PAT_D_Profit_Duration,PAT_Loss_Duration
9/1/2024 16:05,5717,5721.25,5717,5720.25,5658,5616.5,5614.75,5614,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,5720.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 17:10,5714.25,5715,5714,5714.5,5658,5616.5,5614.75,5614,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,0,5714.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 17:15,5714.5,5715,5714,5714.25,5658,5616.5,5614.75,5614,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,0,5714.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 17:25,5714.25,5715.75,5714.25,5715.25,5658,5616.5,5614.75,5614,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,5715.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 17:35,5715,5716.25,5715,5715.75,5658,5616.5,5614.75,5614,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,5715.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 18:20,5713.5,5714.75,5713.5,5714.5,5658,5616.5,5614.75,5614,5613.25,5624.25,5624.75,5627.25,5638.5,5713.5,0,5714.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 18:25,5714.75,5716.25,5714.75,5715,5658,5616.5,5614.75,5614,5613.25,5624.75,5627.25,5638.5,5713.5,5714.75,5715,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0
9/1/2024 18:40,5715.75,5716.75,5715.75,5716.25,5658,5616.5,5614.75,5614,5613.25,5627.25,5638.5,5713.5,5714.75,5715.75,5716.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 18:50,5716.25,5717.5,5716,5717.25,5658,5616.5,5614.75,5614,5613.25,5638.5,5713.5,5714.75,5715.75,5716,5717.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 18:55,5717,5718.25,5717,5718.25,5658,5616.5,5614.75,5614,5613.25,5713.5,5714.75,5715.75,5716,5717,5718.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 19:10,5717.5,5720,5717.5,5719.25,5658,5616.5,5614.75,5614,5613.25,5714.75,5715.75,5716,5717,5717.5,5719.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 19:15,5719.25,5719.75,5718.75,5719.5,5658,5616.5,5614.75,5614,5613.25,5715.75,5716,5717,5717.5,5718.75,5719.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 19:25,5719.75,5720.5,5719.5,5720.25,5658,5616.5,5614.75,5614,5613.25,5716,5717,5717.5,5718.75,5719.5,5720.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 19:50,5719.25,5720.75,5719.25,5720.5,5658,5616.5,5614.75,5614,5613.25,5716,5717,5717.5,5718.75,5719.25,5720.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 20:40,5714.25,5715.5,5714,5715.5,5658,5616.5,5614.75,5614,5613.25,5714,5716,5717,5717.5,5718.75,0,5715.5,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0
9/1/2024 20:45,5715.5,5716.25,5715,5716,5658,5616.5,5614.75,5614,5613.25,5714,5715,5716,5717,5717.5,5716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/1/2024 21:50,5713,5713.75,5711.75,5713.75,5658,5616.5,5614.75,5614,5613.25,5711.75,5714,5715,5716,5717,0,5713.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
