Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Ideal,Predicted_Ideal,Profit,Actual_ideal_profit
2023-10-03 09:15:00,27423.02,27423.04,27294.25,27300.97,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,0.0,27300.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:20:00,27299.92,27318.05,27289.38,27305.7,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,27305.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:25:00,27298.92,27315.68,27293.99,27311.81,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,27311.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:30:00,27313.01,27317.73,27295.14,27295.14,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,0.0,27295.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:35:00,27293.42,27302.88,27284.23,27293.72,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,0.0,27293.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:40:00,27292.23,27320.18,27274.75,27315.74,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,27315.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:45:00,27315.81,27315.81,27291.71,27302.23,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,0.0,27302.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:50:00,27301.07,27304.99,27279.17,27279.17,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,0.0,27279.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 09:55:00,27277.33,27292.21,27271.35,27290.69,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,27290.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03 10:00:00,27289.97,27292.36,27270.52,27272.91,27472.8,27439.66,27438.37,27271.11,27265.29,27421.65,27428.51,27447.18,27458.25,27469.93,0.0,27272.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
