timestamp,open,high,low,close
4/12/2021 9:15,19648.4,19648.4,19475.19,19475.19
4/12/2021 9:20,19462.15,19462.15,19389.79,19389.79
4/12/2021 9:25,19382.89,19404.3,19353.24,19353.24
4/12/2021 9:30,19335.42,19335.42,19265.48,19274.65
4/12/2021 9:35,19268.07,19364.63,19244.38,19348.92
4/12/2021 9:40,19353.24,19410.51,19351.42,19409.64
4/12/2021 9:45,19407.22,19433.65,19387.96,19415.33
4/12/2021 9:50,19410.7,19444.81,19410.7,19434.64
4/12/2021 9:55,19431.35,19463.67,19430.44,19459.16
4/12/2021 10:00,19456.81,19456.81,19405.47,19409.21
4/12/2021 10:05,19406.09,19443.91,19405.91,19437.67
4/12/2021 10:10,19438.98,19438.98,19406.41,19408.38
4/12/2021 10:15,19393.52,19393.52,19354.8,19363.15
4/12/2021 10:20,19363.2,19378.49,19351.05,19359.11
4/12/2021 10:25,19358.21,19365.23,19349.66,19359.21
4/12/2021 10:30,19357.93,19357.93,19339.59,19350.19
4/12/2021 10:35,19345.67,19348.24,19297.48,19298.89
4/12/2021 10:40,19301.09,19317.8,19279.34,19311.14
4/12/2021 10:45,19316.43,19349.32,19316.43,19349.32
4/12/2021 10:50,19347.89,19369.24,19347.6,19364.67
4/12/2021 10:55,19365.85,19370.44,19355.75,19368.45
4/12/2021 11:00,19380.07,19380.07,19357.06,19357.06
4/12/2021 11:05,19360.22,19360.22,19340.48,19341.46
4/12/2021 11:10,19339.5,19348.44,19316.98,19322.54
4/12/2021 11:15,19320.83,19328.11,19313.99,19327.87
4/12/2021 11:20,19326.79,19326.79,19310.82,19313.95
4/12/2021 11:25,19314.67,19314.67,19278.45,19278.45
4/12/2021 11:30,19275.31,19283.24,19256.58,19256.58
4/12/2021 11:35,19251.42,19270.56,19234.52,19263.54
4/12/2021 11:40,19263.75,19263.75,19215.04,19229.4
4/12/2021 11:45,19225.52,19245.31,19221.44,19242.68
4/12/2021 11:50,19240.51,19241.75,19195.58,19199.94
4/12/2021 11:55,19196.93,19197.1,19182.24,19189.87
4/12/2021 12:00,19186.59,19186.59,19145.73,19145.73
4/12/2021 12:05,19144.56,19144.56,19108.33,19108.33
4/12/2021 12:10,19101.53,19144.61,19083.96,19140.3
4/12/2021 12:15,19140.28,19181.77,19131.73,19131.73
4/12/2021 12:20,19129.45,19163.37,19116.94,19160.01
4/12/2021 12:25,19162.08,19174.98,19144.65,19174.98
4/12/2021 12:30,19176.27,19183.53,19157.33,19157.33
4/12/2021 12:35,19157.16,19188.5,19143.83,19185.7
4/12/2021 12:40,19187.22,19215.23,19179.67,19209.1
4/12/2021 12:45,19211.56,19221.37,19181.32,19194.49
4/12/2021 12:50,19194.1,19205.99,19166.73,19168.48
4/12/2021 12:55,19168.71,19172.26,19155.43,19158.61
4/12/2021 13:00,19156.95,19195.2,19155.34,19177.23
4/12/2021 13:05,19178.12,19181.77,19158.83,19160.45
4/12/2021 13:10,19159.42,19178.99,19153.36,19173.26
4/12/2021 13:15,19168.95,19170.81,19151.62,19169.7
4/12/2021 13:20,19170.33,19181.83,19153.81,19153.81
4/12/2021 13:25,19152.51,19166.11,19122.57,19166.11
4/12/2021 13:30,19167.13,19186.74,19167.13,19178.72
4/12/2021 13:35,19177.17,19181.79,19158.01,19166.62
4/12/2021 13:40,19167.35,19182.2,19157.61,19161.28
4/12/2021 13:45,19161.98,19173.78,19157.18,19160.31
4/12/2021 13:50,19161.74,19166.34,19153.87,19163.74
4/12/2021 13:55,19163.54,19173.83,19156.74,19171.87
4/12/2021 14:00,19173.7,19200.66,19168.12,19200.66
4/12/2021 14:05,19204.96,19205.21,19188.47,19192.23
4/12/2021 14:10,19194.77,19197.75,19172.9,19177.28
4/12/2021 14:15,19176.6,19207.64,19176.6,19190.28
4/12/2021 14:20,19191.66,19194.2,19185.04,19191.76
4/12/2021 14:25,19195.66,19202.16,19183.58,19202.16
4/12/2021 14:30,19202.36,19208.33,19126.53,19134.72
4/12/2021 14:35,19131.87,19142.76,19111.46,19122.72
4/12/2021 14:40,19121.84,19132.3,19112.54,19123.44
4/12/2021 14:45,19121.3,19133.98,19105.1,19105.1
4/12/2021 14:50,19096.43,19130.05,19096.43,19105.56
4/12/2021 14:55,19104.84,19108.01,19071.38,19083.84
4/12/2021 15:00,19086.76,19128.91,19086.76,19127.38
4/12/2021 15:05,19133.79,19139.31,19114.88,19118.64
4/12/2021 15:10,19123.22,19140.25,19108.08,19135.93
4/12/2021 15:15,19139.27,19168.85,19139.27,19168.85
4/12/2021 15:20,19171.31,19175.86,19143.45,19175.86
4/12/2021 15:25,19175.27,19189.31,19172.69,19189.31
4/13/2021 9:15,19193.75,19271.49,19179,19182.16
4/13/2021 9:20,19173.45,19245.53,19123.09,19245.53
4/13/2021 9:25,19233.25,19256.61,19225.13,19256.61
4/13/2021 9:30,19259.79,19272.84,19234.63,19272.84
4/13/2021 9:35,19271.69,19288.84,19266.07,19272.29
4/13/2021 9:40,19272.48,19272.48,19245.73,19267.65
4/13/2021 9:45,19267.26,19303.81,19266.56,19303.81
4/13/2021 9:50,19304.82,19336.51,19301.97,19333.23
4/13/2021 9:55,19330.96,19335.66,19310.63,19332.46
4/13/2021 10:00,19333.76,19356.41,19333.76,19355.7
4/13/2021 10:05,19354.89,19356.72,19342.88,19354.67
4/13/2021 10:10,19355.69,19376.5,19355.32,19365.33
4/13/2021 10:15,19366.28,19369.31,19325.58,19326.39
4/13/2021 10:20,19326.08,19333.62,19311.62,19333.22
4/13/2021 10:25,19334.79,19335.82,19303.2,19303.49
4/13/2021 10:30,19304.73,19305.06,19264.51,19267.42
4/13/2021 10:35,19265.46,19296.79,19265.46,19292.91
4/13/2021 10:40,19292.97,19305.53,19276.93,19276.93
4/13/2021 10:45,19273.53,19279.67,19263.7,19271.69
4/13/2021 10:50,19273.85,19276.97,19242.44,19245.56
4/13/2021 10:55,19241.24,19249.46,19228.27,19244.79
4/13/2021 11:00,19245.31,19267.41,19245.1,19258.92
4/13/2021 11:05,19260.24,19263.41,19247.71,19248.79
4/13/2021 11:10,19249.49,19261.41,19232.69,19232.69
4/13/2021 11:15,19232.69,19232.69,19190.71,19209.93
4/13/2021 11:20,19208.66,19223.46,19200.25,19221.01
4/13/2021 11:25,19217.4,19217.44,19204.31,19204.71
4/13/2021 11:30,19206.41,19206.41,19180.6,19192.66
4/13/2021 11:35,19191.04,19198.53,19155.89,19155.89
4/13/2021 11:40,19154.11,19156.47,19127.95,19156.47
4/13/2021 11:45,19160.1,19183.45,19158.42,19172.58
4/13/2021 11:50,19171.57,19187.61,19171.57,19178.81
4/13/2021 11:55,19178.25,19196.35,19177.82,19187.96
4/13/2021 12:00,19186.1,19188.4,19177.96,19180.69
4/13/2021 12:05,19182.16,19183.12,19156.03,19157.77
4/13/2021 12:10,19161.96,19163.26,19141.52,19162.14
4/13/2021 12:15,19164.25,19176.66,19155.07,19167.1
4/13/2021 12:20,19166.67,19175.5,19162.99,19174.63
4/13/2021 12:25,19175.92,19192.44,19169.95,19188.77
4/13/2021 12:30,19188.98,19226.21,19188.98,19218.24
4/13/2021 12:35,19218.67,19226.46,19216.43,19219.67
4/13/2021 12:40,19219.26,19255.17,19219.26,19253.59
4/13/2021 12:45,19251.81,19269.7,19247.21,19266.75
4/13/2021 12:50,19274.29,19276.8,19249.1,19250.25
4/13/2021 12:55,19249.06,19250.73,19235.46,19250.73
4/13/2021 13:00,19252.8,19253.78,19221.74,19221.74
4/13/2021 13:05,19221.63,19221.63,19192.95,19207.67
4/13/2021 13:10,19208.18,19208.18,19176.42,19181.89
4/13/2021 13:15,19180.89,19207.94,19177.58,19200.42
4/13/2021 13:20,19198.76,19201.81,19193.88,19193.88
4/13/2021 13:25,19193.09,19203.75,19184.73,19184.73
4/13/2021 13:30,19177.64,19202.66,19170.56,19200.7
4/13/2021 13:35,19203.78,19254.69,19203.78,19241.33
