Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis
2024-09-01 16:05:00,5717.0,5721.25,5717.0,5720.25,5658.0,5616.5,5614.75,5614.0,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,5720.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 17:10:00,5714.25,5715.0,5714.0,5714.5,5658.0,5616.5,5614.75,5614.0,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,0.0,5714.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 17:15:00,5714.5,5715.0,5714.0,5714.25,5658.0,5616.5,5614.75,5614.0,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,0.0,5714.25,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 17:25:00,5714.25,5715.75,5714.25,5715.25,5658.0,5616.5,5614.75,5614.0,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,5715.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 17:35:00,5715.0,5716.25,5715.0,5715.75,5658.0,5616.5,5614.75,5614.0,5613.25,5621.5,5624.25,5624.75,5627.25,5638.5,5715.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 18:20:00,5713.5,5714.75,5713.5,5714.5,5658.0,5616.5,5614.75,5614.0,5613.25,5624.25,5624.75,5627.25,5638.5,5713.5,0.0,5714.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 18:25:00,5714.75,5716.25,5714.75,5715.0,5658.0,5616.5,5614.75,5614.0,5613.25,5624.75,5627.25,5638.5,5713.5,5714.75,5715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 18:40:00,5715.75,5716.75,5715.75,5716.25,5658.0,5616.5,5614.75,5614.0,5613.25,5627.25,5638.5,5713.5,5714.75,5715.75,5716.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 18:50:00,5716.25,5717.5,5716.0,5717.25,5658.0,5616.5,5614.75,5614.0,5613.25,5638.5,5713.5,5714.75,5715.75,5716.0,5717.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 18:55:00,5717.0,5718.25,5717.0,5718.25,5658.0,5616.5,5614.75,5614.0,5613.25,5713.5,5714.75,5715.75,5716.0,5717.0,5718.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 19:10:00,5717.5,5720.0,5717.5,5719.25,5658.0,5616.5,5614.75,5614.0,5613.25,5714.75,5715.75,5716.0,5717.0,5717.5,5719.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 19:15:00,5719.25,5719.75,5718.75,5719.5,5658.0,5616.5,5614.75,5614.0,5613.25,5715.75,5716.0,5717.0,5717.5,5718.75,5719.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 19:25:00,5719.75,5720.5,5719.5,5720.25,5658.0,5616.5,5614.75,5614.0,5613.25,5716.0,5717.0,5717.5,5718.75,5719.5,5720.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 19:50:00,5719.25,5720.75,5719.25,5720.5,5658.0,5616.5,5614.75,5614.0,5613.25,5716.0,5717.0,5717.5,5718.75,5719.25,5720.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 20:40:00,5714.25,5715.5,5714.0,5715.5,5658.0,5616.5,5614.75,5614.0,5613.25,5714.0,5716.0,5717.0,5717.5,5718.75,0.0,5715.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 20:45:00,5715.5,5716.25,5715.0,5716.0,5658.0,5616.5,5614.75,5614.0,5613.25,5714.0,5715.0,5716.0,5717.0,5717.5,5716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 21:50:00,5713.0,5713.75,5711.75,5713.75,5658.0,5616.5,5614.75,5614.0,5613.25,5711.75,5714.0,5715.0,5716.0,5717.0,0.0,5713.75,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 21:55:00,5714.0,5714.25,5713.5,5713.75,5658.0,5616.5,5614.75,5614.0,5613.25,5711.75,5714.0,5715.0,5716.0,5717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01 22:00:00,5714.0,5714.25,5713.5,5714.0,5658.0,5616.5,5614.75,5614.0,5613.25,5711.75,5714.0,5715.0,5716.0,5717.0,5714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
