Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Ideal_Target,Predicted_Ideal_Target,Actual_Profit,Actual_ideal_profit,PIT_Profit_100,PIT_D_Profit_100,PIT_Loss_100,PIT_Defence_Target_100,PIT_Profit_Timestamp_100,PIT_D_Profit_Timestamp_100,PIT_Loss_Timestamp_100,Actual_Loss,PIT_Profit_Duration,PIT_D_Profit_Duration,PIT_Loss_Duration
6/2/2024 18:05,116.08,116.11,116.07,116.09,116.08,116.05,116.04,116.03,115.17,116.03,116.05,116.07,116.08,116.1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/2/2024 18:10,116.1,116.11,116.09,116.11,116.08,116.05,116.04,116.03,115.17,116.03,116.05,116.07,116.08,116.09,116.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:15,116.11,116.13,116.1,116.13,116.08,116.05,116.04,116.03,115.17,116.05,116.07,116.08,116.09,116.1,116.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:20,116.13,116.13,116.12,116.13,116.08,116.05,116.04,116.03,115.17,116.05,116.07,116.08,116.09,116.1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/2/2024 18:25,116.13,116.13,116.11,116.11,116.08,116.05,116.04,116.03,115.17,116.05,116.07,116.08,116.09,116.1,0,116.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:30,116.12,116.12,116.11,116.11,116.08,116.05,116.04,116.03,115.17,116.05,116.07,116.08,116.09,116.1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/2/2024 18:35,116.12,116.12,116.11,116.11,116.12,116.08,116.05,116.04,116.03,116.05,116.07,116.08,116.09,116.1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/2/2024 18:40,116.11,116.12,116.1,116.1,116.12,116.08,116.05,116.04,116.03,116.05,116.07,116.08,116.09,116.1,0,116.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:45,116.11,116.11,116.08,116.09,116.11,116.08,116.05,116.04,116.03,116.05,116.07,116.08,116.09,116.1,0,116.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:50,116.09,116.1,116.09,116.09,116.11,116.08,116.05,116.04,116.03,116.05,116.07,116.08,116.09,116.1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/2/2024 18:55,116.09,116.1,116.08,116.08,116.11,116.08,116.05,116.04,116.03,116.05,116.07,116.08,116.09,116.1,0,116.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 19:00,116.09,116.1,116.08,116.1,116.11,116.08,116.05,116.04,116.03,116.05,116.07,116.08,116.09,116.1,116.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
